time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448800000	19.6622	15.5847	4.75183	1.9905	0.605479	lidar	3.629	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.567	15.7916	4.73905	2.01778	0.599996	radar	1.36123	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4638	16.0041	4.73867	2.04686	0.599071	lidar	0.00817916	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3615	16.2131	4.73565	2.06375	0.571666	radar	1.81084	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2512	16.3918	4.69712	2.09379	0.57432	lidar	0.793995	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1323	16.5896	4.69153	2.12371	0.577408	radar	0.290354	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0034	16.7973	4.70577	2.15224	0.576638	lidar	0.0949896	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8465	16.9895	4.71875	2.20965	0.634337	radar	6.56374	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6765	17.2195	4.78876	2.24345	0.63435	lidar	1.74473	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5727	17.4241	4.77307	2.23079	0.552275	radar	6.07474	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3614	17.6124	4.82073	2.27768	0.570265	lidar	3.85639	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2252	17.8035	4.81227	2.28215	0.523879	radar	2.46467	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0923	17.9898	4.79878	2.29919	0.515089	lidar	0.903767	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9165	18.1457	4.78741	2.34128	0.543874	radar	1.92692	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7824	18.2908	4.73125	2.36332	0.540238	lidar	1.13002	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6481	18.4729	4.71841	2.37074	0.512889	radar	6.71998	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4556	18.6515	4.75502	2.39869	0.51425	lidar	0.452604	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2745	18.7937	4.74262	2.43296	0.528827	radar	1.74199	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1117	18.9312	4.70998	2.45762	0.527839	lidar	0.358031	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9444	19.1014	4.71626	2.46962	0.506992	radar	3.06932	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.728	19.2163	4.71607	2.50989	0.52197	lidar	2.68508	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5386	19.3692	4.73046	2.53332	0.522101	radar	3.22695	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3165	19.5274	4.78168	2.55907	0.52049	lidar	0.860288	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0933	19.6116	4.76654	2.60876	0.554476	radar	10.0528	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8889	19.7546	4.78638	2.62911	0.546595	lidar	0.782005	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6995	19.8795	4.76351	2.63536	0.505294	radar	3.24419	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4713	20.0302	4.81623	2.65361	0.496902	lidar	1.40102	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2616	20.1709	4.83454	2.66498	0.477398	radar	5.74345	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0715	20.3032	4.82479	2.67675	0.46554	lidar	1.86095	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8417	20.3861	4.82432	2.7132	0.484658	radar	2.10213	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6258	20.5052	4.83548	2.73004	0.477038	lidar	0.65856	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3905	20.592	4.85036	2.76523	0.498614	radar	1.28743	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1442	20.6665	4.8655	2.79709	0.505206	lidar	0.741184	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.908	20.7377	4.87284	2.83176	0.523504	radar	0.388979	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6357	20.8011	4.91583	2.86622	0.530794	lidar	1.81526	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.388	20.8322	4.92198	2.91802	0.576467	radar	2.47186	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1412	20.8749	4.92481	2.95041	0.579962	lidar	0.169664	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9093	20.933	4.91919	2.97261	0.572273	radar	1.74263	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7058	20.9792	4.87336	2.99436	0.566727	lidar	1.84794	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4541	21.0192	4.89294	3.02291	0.569319	radar	2.59745	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2074	21.057	4.90324	3.0474	0.564979	lidar	0.153993	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9683	21.0768	4.90123	3.07861	0.573334	radar	0.965087	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.724	21.049	4.8853	3.12131	0.588067	lidar	1.90781	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
